probe_id	gene_symbol	entrez_id	ensembl_id
2315113	LOC102723600	102723600	NA
2315115	LOC102723600	102723600	NA
2315135	LOC105379212	105379212	NA
2315224	LOC100132287	100132287	NA
2315233	LINC01000	402483	NA
2315254	LOC101930151	101930151	NA
2315279	LOC105379561	105379561	NA
2315288	LINC01881	728323	NA
2315290	LOC105373318	105373318	NA
2315428	TUBBP5	643224	NA
2315430	LOC100288175	100288175	ENSG00000217801
2315521	LINC01342	254099	ENSG00000223823
2315633	B3GALT6	126792	ENSG00000176022
2315739	PUSL1	126789	ENSG00000169972
2315773	CPTP	80772	ENSG00000224051
2315786	TAS1R3	83756	ENSG00000169962
2315862	LOC148413	148413	ENSG00000224870
2315877	LOC105378585	105378585	NA
2315880	TMEM88B	643965	ENSG00000205116
2315894	VWA1	64856	ENSG00000179403
2315942	ATAD3C	219293	ENSG00000215915
2315944	ATAD3C	219293	ENSG00000215915
2316137	SLC35E2	9906	ENSG00000215790
2316218	CALML6	163688	ENSG00000169885
2316241	PRKCZ	5590	ENSG00000067606
2316245	PRKCZ	5590	ENSG00000067606
2316339	PRKCZ	5590	ENSG00000067606
2316343	FAAP20	199990	ENSG00000162585
2316345	FAAP20	199990	ENSG00000162585
2316347	FAAP20	199990	ENSG00000162585
2316350	FAAP20	199990	ENSG00000162585
2316365	LOC105378593	105378593	NA
2316369	LOC105378593	105378593	NA
2316371	LOC105378593	105378593	NA
2316379	SKI	6497	ENSG00000157933
2316554	MORN1	79906	ENSG00000116151
2316558	RER1	11079	ENSG00000157916
2316605	PLCH2	9651	NA
2316733	LOC115110	115110	NA
2316746	FAM213B	127281	NA
2316773	LOC100996583	100996583	ENSG00000228037
2316785	LOC105378598	105378598	NA
2316787	LOC105378598	105378598	NA
2316789	LOC105378598	105378598	NA
2316793	LOC105378598	105378598	NA
2316796	LOC105378598	105378598	NA
2316905	ACTRT2	140625	ENSG00000169717
2316953	PRDM16	63976	ENSG00000142611
2317246	ARHGEF16	27237	ENSG00000130762
2317317	TP73	7161	ENSG00000078900
2317434	TPRG1L	127262	ENSG00000158109
2317472	CCDC27	148870	ENSG00000162592
2317498	SMIM1	388588	ENSG00000235169
2317512	DFFB	1677	ENSG00000169598
2317557	LINC01134	100133612	ENSG00000236423
2317568	LINC01346	728716	NA
2317585	LOC105376673	105376673	NA
2317591	LOC105376673	105376673	NA
2317884	LINC01777	284661	ENSG00000235054
2317900	LINC01646	105376679	NA
2317922	LOC105376682	105376682	NA
2318086	KCNAB2	8514	ENSG00000069424
2318132	KCNAB2	8514	ENSG00000069424
2318157	RNF207	388591	ENSG00000158286
2318170	RNF207	388591	ENSG00000158286
2318212	LINC00337	148645	NA
2318220	HES3	390992	ENSG00000173673
2318242	LOC100130071	100130071	NA
2318338	TAS1R1	80835	ENSG00000173662
2318364	ZBTB48	3104	ENSG00000204859
2318398	PHF13	148479	ENSG00000116273
2318416	THAP3	90326	ENSG00000041988
2318450	LINC01672	100505887	NA
2318455	CAMTA1	23261	ENSG00000171735
2318637	VAMP3	9341	ENSG00000049245
2318656	PER3	8863	ENSG00000049246
2318736	PARK7	11315	ENSG00000116288
2318934	LINC01714	102724539	ENSG00000227634
2318951	SLC45A1	50651	ENSG00000162426
2319016	LOC102724552	102724552	NA
2319123	ENO1-AS1	100505975	ENSG00000230679
2319135	CA6	765	ENSG00000131686
2319212	LINC01759	102724571	ENSG00000234546
2319219	LINC01759	102724571	ENSG00000234546
2319225	H6PD	9563	ENSG00000049239
2319252	SPSB1	80176	ENSG00000171621
2319385	TMEM201	199953	ENSG00000188807
2319423	PIK3CD	5293	ENSG00000171608
2319504	LOC105376717	105376717	NA
2319515	NMNAT1	64802	ENSG00000173614
2319518	NMNAT1	64802	ENSG00000173614
2319550	RBP7	116362	ENSG00000162444
2319560	UBE4B	10277	ENSG00000130939
2319661	KIF1B	23095	ENSG00000054523
2319802	PGD	5226	ENSG00000142657
2319881	PEX14	5195	ENSG00000142655
